r,Fields group,Management of the resource,,,,,,,,,,,,Metadata of the text (description of item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,,0
0,,,,,,,,,,,,,,Text identity,,,,,,,Text type,,,,Language(s) and script(s),,,,,,,,,,,,Physical form,,,,,,,Date of the text,,,,Filiation,,,,,,,Rights,,,,0
0,Fields,Identifier of the resource,Origin of the metadata,Editor of the metadata,Date of the edition,Contributor of the metadata,Date of contribution,Type of contribution,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the text,Designation,Alternative identifier,Alternative designation,Alternative designation,Location on the artefact/conglomerate artefact/monument,ID of the artefact/conglomerate artefact/monument,Text type 1,Text type 2,Text type 3,Text type 4,Language 1,Script classification 1,Script maturity 1,Language 2,Script classification 2,Script maturity 2,Language 3,Script classification 3,Script maturity 3,Language 4,Script classification 4,Script maturity 4,Lettering technique,Lines (observed),Lines (estimated),Lines per zone(s),Dimensions of text zone(s),Height of glyph,Width of glyph,Date CE,Date interval CE,Date precision,Date evidence,Duplicate ID,Reissue ID,Reissue date,Bibliographical references (primary),Bibliographical references (secondary),Keyword(s),Remarks,Project responsible for publication,Distribution rights of the text,Identifier of the surrogate,Identifier of the digital image,0
0,Description of the fields,Digital identifier of the inscription as text. Syntax: INS<corpus>00001,Origin of the metadata: database or publication,"Person(s) who supplied/edited metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)",Date of metadata input/editing (YYYY-MM-DD),"Person(s) who modified metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)",Date of metadata modification (YYYY-MM-DD). Use $ to separate the dates,"Type of metadata modification. Use $ to separate the types of contribution, if more than one.","Validation of metadata and validating person (use the DHARMA members' Ids and separate them by $, if more than one editor)",Date of metadata review (YYYY-MM-DD),Project responsible for making these metadata available,Corpus to which the inscription pertains,Licence applicable to metadata,"Identifier of the text. 
Syntax: INS<corpus>00001",Designation of the text [= title in xml edition],Alternative identifier(s),Alternative designation(s),Alternative designation(s),Location on the artefact/conglomerate artefact/monument (free text),ID of the artefact/conglomerate artefact/monument bearing the text,"Text type (ideally only 1, choose misc. if you need to record more than 1)",Text type 2 (use only if more than 1 is necessary – Text type 1 must then have value misc.),Text type 3 (use only if more than 1 is necessary – Text type 1 must then have value misc.),Text type 4 (use only if more than 1 is necessary – Text type 1 must then have value misc.),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),"Writing technique (engraved, relief, painted, etc.)",Number of lines of this text preserved/observed on the artefact,Known or estimated total number of lines in this text,Number of lines observed per zone (format A:10§B:12),"Height x Width of the inscribed zone or zones (cm) – if multiple zones, use $ as separator and letter prefix plus colon before h and w values ",Height of an average aksara (cm),Width of an average aksara (cm),YYYY-MM-DD or YYYY-MM or YYYY,YYYY-YYYY,precision of the text's dating,evidence that indicates the date of the text,ID of the corresponding text,ID of the corresponding text,CE date of reissue (YYYY or YYYY-YYYY),Bibliographical references. Use $ to separate the references,Bibliographical references. Use $ to separate the references,"Terms to characterize the inscription. The choice of keywords is free, use $ to separate terms",Remarks on text-related metadata (free text),Project responsible for making this text edition available,Licence applicable to the text edition,Identifier(s) of the related surrogate(s),Identifier(s) of the related digital image(s),0
1,EXAMPLE,INSCIC00001,Inventaire EFEO des inscriptions du Campa,argr,2021-11-19,argr$sapi,2022-01-21,completion,argr$sapi,2022-02-04,DHARMA,CIC,CC0,INSCIC00001,The back of a Viṣṇu Statue at Biên Hòa,C. 1,,,back,ARTCIC000001,inaugurative - installation_religious_image,,,,Old Cham,brahmi_and_derivatives - southeast_asian_brahmi - cam_script,vernacular Brahmi-derived script,,,,,,,,,,engraved,9,9,,85x65,3,,,1421-1422,low,internal date,,,,"Cabaton1904_01 (with eye-copy in fig. 6)$Griffiths2019_01: 200-202, fig. 4","Aymonier1891_01: 7, 84-85$Finot1901_01: 18, fig. 4$Coedes1908_01: 40 (no. 1)$Finot1915_01: 14$Parmentier1909_01: 553-555, fig. 127$Coedes1923_01: 4-5 (no. 1)$Majumdar1927_01: part III, 224$Boisselier1963_01: 365, fig. 235$Golzio2004_01: 199-200",,,DHARMA,CC-BY 4.0,est_EFEO_00263$est_EFEO_n02313,,1
2,EXAMPLE,INSCIC00002,Inventaire EFEO des inscriptions du Campa,argr,2021-11-19,argr$sapi,2022-02-04,completion,,,DHARMA,CIC,CC0,INSCIC00002,,C. 2,,,,ARTCIC000002,commemorative,,,,Old Cham,brahmi_and_derivatives - southeast_asian_brahmi - cam_script,vernacular Brahmi-derived script,,,,,,,,,,engraved,8,8,,,3,,,1600-1800,low,lettering,,,,Aymonier1881_01,Coedes1908_01: 40 (no. 2)$Aymonier1900_01: 331$LunetdeLajonquiere1902_01: 93 (no. 86)$Coedes1923_01: 4-5 (no. 2),,The third inscription in Weber 2014 has been wrongly identified as C. 2. The inscription in question has since received the number C. 239.,DHARMA,CC-BY 4.0,est_BnF_208_24,DHARMA_SUR208BNFParis_01$DHARMA_SUR208BNFParis_02$DHARMA_SUR208BNFParis_03$DHARMA_SUR208BNFParis_04$DHARMA_SUR208BNFParis_05$DHARMA_SUR208BNFParis_06,2
3,EXAMPLE,INSCIC00004_1,Inventaire EFEO des inscriptions du Campa,argr,2021-11-19,,,,,,DHARMA,CIC,CC0,INSCIC00004_1,,C. 4,,,B,ARTCIC000004,,,,,Old Cham,,,,,,,,,,,,engraved,,20,,,,,,,,,,,,"JA 1888 (1), 91 ; 1891 (1), 50. — BEFEO III, 634viii; XV (2), 9, 51. — Parmentier1909_01: 801.",,,,DHARMA,CC-BY 4.0,2 ; n. 143$383 (43),,3
4,EXAMPLE,INSCIC00004_2,Inventaire EFEO des inscriptions du Campa,argr,2021-11-19,,,,,,DHARMA,CIC,CC0,INSCIC00004_2,,C. 4,,,A,ARTCIC000004,,,,,Old Cham,,,,,,,,,,,,engraved,,21,,,,,,,,,,,,"JA 1888 (1), 91 ; 1891 (1), 50. — BEFEO III, 634viii; XV (2), 9, 51. — Parmentier1909_01: 801.",,,,DHARMA,CC-BY 4.0,2 ; n. 143$383 (43),,4
5,EXAMPLE,INSCIC00217_1,Inventaire EFEO des inscriptions du Campa,argr,2021-11-19,,,,,,DHARMA,CIC,CC0,INSCIC00217_1,Inscription de Phươc Thiện,C. 217,,,A,ARTCIC000217,,,,,Sanskrit,,,,,,,,,,,,engraved,,invoc. + 12,,,,,,,,,,,,"JA 295 (2007), p. 349-381",rapport fouilles vietnamiennes,,,DHARMA,CC-BY 4.0,n. 1883,,5
6,EXAMPLE,INSCIC00217_2,Inventaire EFEO des inscriptions du Campa,argr,2021-11-19,,,,,,DHARMA,CIC,CC0,INSCIC00217_2,Inscription de Phươc Thiện,C. 217,,,B,ARTCIC000217,,,,,Sanskrit,,,,,,,,,,,,engraved,,12,,,,,,,,,,,,"JA 295 (2007), p. 349-381",rapport fouilles vietnamiennes,,,DHARMA,CC-BY 4.0,n. 1884,,6
7,,INSCIK00001,,,,,,,,,DHARMA,CIK,CC0,INSCIK00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,7
8,,INSCIK00002,,,,,,,,,DHARMA,CIK,CC0,INSCIK00002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,8
9,,INSCIK00003,,,,,,,,,DHARMA,CIK,CC0,INSCIK00003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,9
