0,Fields group,Management of the resource,,,,,,,,,,,,Metadata of the text (description of item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,,0
0,,,,,,,,,,,,,,,,,,,,,,,,Text type,,,,,Language(s) and script(s),,,,,,,,,,,,Lettering format,,,,,,,,,,Filiation,,,,,,Rights,,,,0
0,Fields,Identifier of the resource,Origin of the metadata,Editor of the metadata,Date of the edition,Contributor of the metadata,Date of contribution,Type of contribution,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the text,Designation,Alternative identifier,Alternative designation,Alternative designation,Alternative designation,Alternative designation,Alternative designation,Location on the artefact/conglomerate artefact/monument,ID of the artefact/conglomerate artefact/monument,Text type 1,Text type 2,Text type 3,Text type 4,Lines,Language 1,Script classification 1,Script maturity 1,Language 2,Script classification 2,Script maturity 2,Language 3,Script classification 3,Script maturity 3,Language 4,Script classification 4,Script maturity 4,Lettering technique,Height of text,Width of text,Lines,Height of glyph,Width of glyph,Date CE,Date interval CE,Date precision,Date evidence,Duplicate ID,Reissue ID,Reissue date,Bibliographical references,Keyword(s),Remarks,Project responsible for publication,Distribution rights of the text,Identifier of the surrogate,Identifier of the digital image,0
0,Description of the fields,Digital identifier of the inscription as text - Syntax: INS<corpus>00001,Origin of the metadata: database or publication,Person(s) who supplied/edited metadata in this row (use the DHARMA members' Ids and separate them by space, if more than one editor),Date of metadata input/editing (YYYY-MM-DD),Person(s) who modified metadata in this row,Date of metadata modification (YYYY-MM-DD),Type of metadata modification (free text),Validation of the row of metadata and validating person,Date of metadata review (YYYY-MM-DD),Project responsible for making these metadata available,Corpus to which the inscription pertains,Licence applicable to metadata,"Identifier of the text - Syntax: INS<corpus>00001",Designation of the text,Alternative identifier(s),Alternative designation(s),Alternative designation(s),Alternative designation(s),Alternative designation(s),Alternative designation(s),Location on the artefact/conglomerate artefact/monument (free text),ID of the artefact/conglomerate artefact/monument bearing the text,Text type 1,Text type 2 (if there is more than one text type),Text type 3 (if there is more than one text type),Text type 4 (if there is more than one text type),Number of lines in the text,Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Writing technique (engraved, relief, painted, etc.),Height of the inscribed zone (cm),Width of the inscribed zone (cm),Number of lines observed on the artefact,Height of an average aksara (cm),Width of an average aksara (cm),YYYY-MM-DD or YYYY-MM or YYYY,YYYY-YYYY,precision of the text datation,evidence that indicates the date of the text,ID of the corresponding text,ID of the corresponding text,Saka date of reissue (YYYY),Bibliographical references. Use $ to separate the references,Terms to characterize the inscription. The choice of keywords is free, use $ to separate terms,Remarks on text-related metadata (free text),Project responsible for making this text edition available,Licence applicable to the text edition,Identifier(s) of the related surrogate(s). Use $ to separate the identifiers,Identifier(s) of the related digital image(s). Use $ to separate the identifiers,0
,,INSKalyanaCalukya00001,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00002,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00003,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00004,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00005,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00006,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00007,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00008,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00009,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00010,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00011,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00012,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00013,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00014,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00015,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00016,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00017,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00018,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00019,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00020,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00021,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00022,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00023,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00024,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00025,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSKalyanaCalukya00026,,,,,,,,,DHARMA,KalyanaCalukya,CC0,INSKalyanaCalukya00026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
