0,Fields group,Management of the resource,,,,,,,,,,,Metadata of the text (description of item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,,,0
0,,,,,,,,,,,,,Text identity,,,,,,Related entities,,,Text typology,,,,Language(s) and script(s),,,,,,,,,,,,Physical form,,,,,,,Date of the text,,,,,Filiation,,,,,,,Rights,,,,,0
0,Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the text,Designation,Alternative identifier,Alternative designation,Alternative designation,Location on the artefact/conglomerate artefact/monument,ID of the artefact(s),ID of the conglomerate artefact,ID of the monument,Text type 1,Text type 2,Text type 3,Text type 4,Language 1,Script classification 1,Script maturity 1,Language 2,Script classification 2,Script maturity 2,Language 3,Script classification 3,Script maturity 3,Language 4,Script classification 4,Script maturity 4,Lettering technique,Lines (observed),Lines (estimated),Lines per zone(s),Dimensions of text zone(s),Height of glyph,Width of glyph,Date CE,Date range CE,Date certainty,Date precision,Date evidence,Other instances,Type of filiation,Reissue date,Bibliographic references (primary),Bibliographic references (secondary),Keyword(s),Remarks,Project responsible for publication,Distribution rights of the text edition,Identifier of the surrogate,Identifier of the digital image,Link to external repository of images,0
0,Description of the fields,Digital identifier of the inscription as text. Syntax: INS<corpus>00001,Origin of the metadata: database or publication,Date of conversion of previously available metadata to the DHARMA model,"Person(s) who supplied metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)",Start date of metadata input/editing for DHARMA (YYYY-MM-DD),"Person(s) who entered/edited metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)","Validating person (use the DHARMA members' Ids and separate them by $, if more than one editor)",Date of metadata validation (YYYY-MM-DD),Project responsible for making these metadata available,Corpus to which the inscription pertains,Licence applicable to metadata,Identifier of the text. Syntax: INS<corpus>00001,Designation of the text [= title in xml edition],Alternative identifier(s),Alternative designation(s),Alternative designation(s),Location on the artefact/conglomerate artefact/monument (free text),"ID of the artefact bearing the text. If there is more than one artefact bearing the text, use $ as separator.",ID of the conglomerate artefact bearing the text,ID of the monument bearing the text,"Text type (ideally only 1, choose misc. if you need to record more than 1)",Text type 2 (use only if more than 1 is necessary – Text type 1 must then have value misc.),Text type 3 (use only if more than 1 is necessary – Text type 1 must then have value misc.),Text type 4 (use only if more than 1 is necessary – Text type 1 must then have value misc.),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),"Writing technique (engraved, relief, painted, etc.)",Number of lines of this text preserved/observed on the artefact(s),Known or estimated total number of lines in this text,"Number of lines observed per zone – if multiple zones, use $ as separator and letter prefix plus colon for each zone (format A:10$B:12)","Height x Width of the inscribed zone or zones (cm) – if multiple zones, use $ as separator and letter prefix plus colon before h and w values ",Height of an average aksara (cm),Width of an average aksara (cm),YYYY-MM-DD or YYYY-MM or YYYY,YYYY-YYYY,degree of certainty of the text's dating,degree of precision of the text's dating,evidence that indicates the date of the text,ID of other instances of the corresponding text,"Status of the given instance in relation with others (original, duplicate, reissue, undetermined)","In case of reissue, CE date of reissue (YYYY or YYYY-YYYY)",Bibliographical references. Use $ to separate the references,Bibliographical references. Use $ to separate the references,"Terms to characterize the inscription. The choice of keywords is free, use $ to separate terms",Remarks on text-related metadata (free text),Project responsible for making this text edition available,Licence applicable to the text edition,Identifier(s) of the related surrogate(s). Use $ to separate the identifiers.,Identifier(s) of the related digital image(s). Use $ to separate the identifiers.,Link(s) to related images stored on external repository.  Use $ to separate the identifiers.,0
1,,INSSomavamsin00001,,,amwb,2022-03-07,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00001,Vakratentali Grant of Mahābhavagupta Janamejaya Year 3,,"Vakratentalī grant of Mahābhavagupta I Janamejaya, Year 3",,,,,,donative-religious_land_grant,administrative/legal-royal_order,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,,,,,,,,,,,,,39,,,,,,,,,,,,,Mazumdar1911-1912_01$Rajaguru1966_01$Shastri1995_02,Bhandarkar1927-1936_01$ARIE1955-1956$Desai+Shastri2008_01$Acharya2014_01,,,DHARMA,CC-BY-SA,DHARMA_SURARIE_A67_1955-56_01$DHARMA_SURARIE_A67_1955-56_02$DHARMA_SURARIE_A67_1955-56_03$DHARMA_SURARIE_A67_1955-56_04,DHARMA_SURARIE_A67_1955-56_01.tif$DHARMA_SURARIE_A67_1955-56_02.tif$DHARMA_SURARIE_A67_1955-56_03.tif$DHARMA_SURARIE_A67_1955-56_04.tif,,1
2,,INSSomavamsin00002,,,amwb,2022-03-07,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00002,Gopalpur Plates of Mahābhavagupta Janamejaya Year 1,,,,,ARTSomavamsin000001$ARTSomavamsin000002$ARTSomavamsin000003,CONARTSomavamsin000001,,,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,,,,,,,,,,,engraved,52,52,,,,,,,,,,,,,Shastri+Tripathy2011_01,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,DHARMA_INSSomavamsin00002_01.JPG$DHARMA_INSSomavamsin00002_02.JPG$DHARMA_INSSomavamsin00002_03.JPG$DHARMA_INSSomavamsin00002_04.JPG$DHARMA_INSSomavamsin00002_05.JPG$DHARMA_INSSomavamsin00002_06.JPG$DHARMA_INSSomavamsin00002_07.JPG$DHARMA_INSSomavamsin00002_08.JPG$DHARMA_INSSomavamsin00002_09.JPG$DHARMA_INSSomavamsin00002_10.JPG$DHARMA_INSSomavamsin00002_11.JPG$DHARMA_INSSomavamsin00002_12.JPG$DHARMA_INSSomavamsin00002_13.JPG$DHARMA_INSSomavamsin00002_14.JPG$DHARMA_INSSomavamsin00002_15.JPG,,2
3,,INSSomavamsin00003,,,amwb,2022-03-07,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00003,Gopalpur Plates of Mahābhavagupta Janamejaya Year 10,,,,,ARTSomavamsin000004$ARTSomavamsin000005$ARTSomavamsin000006,CONARTSomavamsin000002,,,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,,,,,,,,,,,engraved,49,49,,,,,,,,,,,,,Shastri+Tripathy2011_01,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,DHARMA_INSSomavamsin00003_01.JPG$DHARMA_INSSomavamsin00003_02.JPG$DHARMA_INSSomavamsin00003_03.JPG$DHARMA_INSSomavamsin00003_04.JPG$DHARMA_INSSomavamsin00003_05.JPG$DHARMA_INSSomavamsin00003_06.JPG$DHARMA_INSSomavamsin00003_07.JPG$DHARMA_INSSomavamsin00003_08.JPG$DHARMA_INSSomavamsin00003_09.JPG$DHARMA_INSSomavamsin00003_10.JPG$DHARMA_INSSomavamsin00003_11.JPG$DHARMA_INSSomavamsin00003_12.JPG$DHARMA_INSSomavamsin00003_13.JPG$DHARMA_INSSomavamsin00003_14.JPG$DHARMA_INSSomavamsin00003_15.JPG,,3
4,,INSSomavamsin00004,,,amwb,2022-03-07,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00004,Gopalpur Plates of Mahābhavagupta Janamejaya Year 12,,,,,ARTSomavamsin000007$ARTSomavamsin000008$ARTSomavamsin000009,CONARTSomavamsin000003,,,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,,,,,,,,,,,engraved,65+1(seal),65,,,,,,,,,,,,,Shastri+Tripathy2011_01,Tripathy2011_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,DHARMA_INSSomavamsin00004_01.JPG$DHARMA_INSSomavamsin00004_02.JPG$DHARMA_INSSomavamsin00004_03.JPG$DHARMA_INSSomavamsin00004_04.JPG$DHARMA_INSSomavamsin00004_05.JPG$DHARMA_INSSomavamsin00004_06.JPG$DHARMA_INSSomavamsin00004_07.JPG$DHARMA_INSSomavamsin00004_08.JPG$DHARMA_INSSomavamsin00004_09.JPG$DHARMA_INSSomavamsin00004_10.JPG$DHARMA_INSSomavamsin00004_11.JPG$DHARMA_INSSomavamsin00004_12.JPG$DHARMA_INSSomavamsin00004_13.JPG$DHARMA_INSSomavamsin00004_14.JPG$DHARMA_INSSomavamsin00004_15.JPG$DHARMA_INSSomavamsin00004_16.JPG$DHARMA_INSSomavamsin00004_17.JPG$DHARMA_INSSomavamsin00004_18.JPG$DHARMA_INSSomavamsin00004_19.JPG$DHARMA_INSSomavamsin00004_20.JPG$DHARMA_INSSomavamsin00004_21.JPG,,4
5,,INSSomavamsin00005,,,amwb,2022-03-07,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00005,"Patna Plates of Mahābhavagupta Janamejaya, Āṣāḍha month, Year 6",,,,,,,,,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,,,,,,,,,,,,,45,,,,,,,,,,,,,Rajaguru1966_01$Shastri1995_02,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,,,5
6,,INSSomavamsin00006,,,amwb,2022-03-07,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00006,"Patna Plates of Mahābhavagupta Janamejaya, Kārttika month, Year 6",,,,,ARTSomavamsin000016$ARTSomavamsin000017$ARTSomavamsin000018,CONARTSomavamsin000006,,,,,,,,,,,,,,,,,,engraved,46,46,,,,,,,,,,,,,Rajaguru1966_01$Shastri1995_02,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,DHARMA_SURARIE_A01-1_1966-67_01$DHARMA_SURARIE_A01-1_1966-67_02$DHARMA_SURARIE_A01-1_1966-67_03$DHARMA_SURARIE_A01-1_1966-67_04$DHARMA_SURARIE_A01-1_1966-67_05$DHARMA_SURARIE_A01-2_1966-67_01$DHARMA_SURARIE_A01-2_1966-67_02$DHARMA_SURARIE_A01-2_1966-67_03$DHARMA_SURARIE_A01-2_1966-67_04$DHARMA_SURARIE_A01-2_1966-67_05$DHARMA_SURARIE_A18_1952-53_01$DHARMA_SURARIE_A18_1952-53_02$DHARMA_SURARIE_A18_1952-53_03$DHARMA_SURARIE_A18_1952-53_04$DHARMA_SURARIE_A18_1952-53_05,DHARMA_INSSomavamsin00006_01.JPG$DHARMA_INSSomavamsin00006_02.JPG$DHARMA_INSSomavamsin00006_03.JPG$DHARMA_INSSomavamsin00006_04.JPG$DHARMA_INSSomavamsin00006_05.JPG$DHARMA_INSSomavamsin00006_06.JPG$DHARMA_INSSomavamsin00006_07.JPG$DHARMA_INSSomavamsin00006_08.JPG$DHARMA_INSSomavamsin00006_09.JPG$DHARMA_INSSomavamsin00006_10.JPG$DHARMA_INSSomavamsin00006_11.JPG$DHARMA_INSSomavamsin00006_12.JPG$DHARMA_INSSomavamsin00006_13.JPG$DHARMA_INSSomavamsin00006_14.JPG$DHARMA_INSSomavamsin00006_15.JPG$DHARMA_INSSomavamsin00006_16.JPG$DHARMA_INSSomavamsin00006_17.JPG$DHARMA_SURARIE_A01-1_1966-67_01.tif$DHARMA_SURARIE_A01-1_1966-67_02.tif$DHARMA_SURARIE_A01-1_1966-67_03.tif$DHARMA_SURARIE_A01-1_1966-67_04.tif$DHARMA_SURARIE_A01-1_1966-67_05.tif$DHARMA_SURARIE_A01-2_1966-67_01.jpg$DHARMA_SURARIE_A01-2_1966-67_02.jpg$DHARMA_SURARIE_A01-2_1966-67_03.jpg$DHARMA_SURARIE_A01-2_1966-67_04.jpg$DHARMA_SURARIE_A01-2_1966-67_05.jpg$DHARMA_SURARIE_A18_1952-53_01.tif$DHARMA_SURARIE_A18_1952-53_02.tif$DHARMA_SURARIE_A18_1952-53_03.tif$DHARMA_SURARIE_A18_1952-53_04.tif$DHARMA_SURARIE_A18_1952-53_05.tif,,6
7,,INSSomavamsin00007,,,amwb,2022-03-07,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00007,Kālibhanā Plates of Mahābhavagupta Janamejaya Year 6,,,,,ARTSomavamsin000013$ARTSomavamsin000014$ARTSomavamsin000015,CONARTSomavamsin000005,,,,,,,,,,,,,,,,,,engraved,48,43,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,DHARMA_INSSomavamsin00007_01.JPG$DHARMA_INSSomavamsin00007_02.JPG$DHARMA_INSSomavamsin00007_03.JPG$DHARMA_INSSomavamsin00007_04.JPG$DHARMA_INSSomavamsin00007_05.JPG$DHARMA_INSSomavamsin00007_06.JPG$DHARMA_INSSomavamsin00007_07.JPG$DHARMA_INSSomavamsin00007_08.JPG$DHARMA_INSSomavamsin00007_09.JPG$DHARMA_INSSomavamsin00007_10.JPG,,7
8,,INSSomavamsin00008,,,amwb,2022-03-07,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00008,"Satalma Plates of Mahābhavagupta Janamejaya, Year 8 ",,Nagpur Museum Plates of Mahābhavagupta I Janamejaya Year 8,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,DHARMA_SURARIE_A22_1964-65_01$DHARMA_SURARIE_A22_1964-65_02$DHARMA_SURARIE_A22_1964-65_03$DHARMA_SURARIE_A22_1964-65_04$DHARMA_SURARIE_A22_1964-65_05,DHARMA_SURARIE_A22_1964-65_01.tif$DHARMA_SURARIE_A22_1964-65_02.tif$DHARMA_SURARIE_A22_1964-65_03.tif$DHARMA_SURARIE_A22_1964-65_04.tif$DHARMA_SURARIE_A22_1964-65_05.tif,,8
9,,INSSomavamsin00009,,,amwb,2022-03-07,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00009,"Sonpur Plates of Mahābhavagupta Janamejaya, Year 17",,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,,,9
