0,Fields group,Management of the resource,,,,,,,,,,,Metadata of the text (description of item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,,,0
0,,,,,,,,,,,,,Text identity,,,,,,Related entities,,,Text typology,,,,Language(s) and script(s),,,,,,,,,,,,Physical form,,,,,,,Date of the text,,,,,Filiation,,,,,,,Rights,,,,,0
0,Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the text,Designation,Alternative identifier,Alternative designation,Alternative designation,Location on the artefact/conglomerate artefact/monument,ID of the artefact(s),ID of the conglomerate artefact,ID of the monument,Text type 1,Text type 2,Text type 3,Text type 4,Language 1,Script classification 1,Script maturity 1,Language 2,Script classification 2,Script maturity 2,Language 3,Script classification 3,Script maturity 3,Language 4,Script classification 4,Script maturity 4,Lettering technique,Lines (observed),Lines (estimated),Lines per zone(s),Dimensions of text zone(s),Height of glyph,Width of glyph,Date CE,Date range CE,Date certainty,Date precision,Date evidence,Other instances,Type of filiation,Reissue date,Bibliographic references (primary),Bibliographic references (secondary),Keyword(s),Remarks,Project responsible for publication,Distribution rights of the text edition,Identifier of the surrogate,Identifier of the digital image,Link to external repository of images,0
0,Description of the fields,Digital identifier of the inscription as text. Syntax: INS<corpus>00001,Origin of the metadata: database or publication,Date of conversion of previously available metadata to the DHARMA model,"Person(s) who supplied metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)",Start date of metadata input/editing for DHARMA (YYYY-MM-DD),"Person(s) who entered/edited metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)","Validating person (use the DHARMA members' Ids and separate them by $, if more than one editor)",Date of metadata validation (YYYY-MM-DD),Project responsible for making these metadata available,Corpus to which the inscription pertains,Licence applicable to metadata,Identifier of the text. Syntax: INS<corpus>00001,Designation of the text [= title in xml edition],Alternative identifier(s),Alternative designation(s),Alternative designation(s),Location on the artefact/conglomerate artefact/monument (free text),"ID of the artefact bearing the text. If there is more than one artefact bearing the text, use $ as separator.",ID of the conglomerate artefact bearing the text,ID of the monument bearing the text,"Text type (ideally only 1, choose misc. if you need to record more than 1)",Text type 2 (use only if more than 1 is necessary – Text type 1 must then have value misc.),Text type 3 (use only if more than 1 is necessary – Text type 1 must then have value misc.),Text type 4 (use only if more than 1 is necessary – Text type 1 must then have value misc.),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),"Writing technique (engraved, relief, painted, etc.)",Number of lines of this text preserved/observed on the artefact(s),Known or estimated total number of lines in this text,"Number of lines observed per zone – if multiple zones, use $ as separator and letter prefix plus colon for each zone (format A:10$B:12)","Height x Width of the inscribed zone or zones (cm) – if multiple zones, use $ as separator and letter prefix plus colon before h and w values ",Height of an average aksara (cm),Width of an average aksara (cm),YYYY-MM-DD or YYYY-MM or YYYY,YYYY-YYYY,degree of certainty of the text's dating,degree of precision of the text's dating,evidence that indicates the date of the text,ID of other instances of the corresponding text,"Status of the given instance in relation with others (original, duplicate, reissue, undetermined)","In case of reissue, CE date of reissue (YYYY or YYYY-YYYY)",Bibliographical references. Use $ to separate the references,Bibliographical references. Use $ to separate the references,"Terms to characterize the inscription. The choice of keywords is free, use $ to separate terms",Remarks on text-related metadata (free text),Project responsible for making this text edition available,Licence applicable to the text edition,Identifier(s) of the related surrogate(s). Use $ to separate the identifiers.,Identifier(s) of the related digital image(s). Use $ to separate the identifiers.,Link(s) to related images stored on external repository.  Use $ to separate the identifiers.,0
1,,INSTelugu00001,Lakhsmana Rao 1927-1928: 271-275 (EI XIXCOMMA 47),2022-01,jeth,2022-01-24,,,,DHARMA,Telugu,CC0,INSTelugu00001,,,,,On a stone lying in a field at Addanki,ARTTelugu000001,,,donative-religious_land_grant,,,,Telugu,brahmi_and_derivatives-southern_class_brahmi,regional_Brahmi--derived_script,,,,,,,,,,,12,16,,,,,849,,,,reign,,,,Butterworth & Venugopaul Chetty 1905: 896-897 (NI II: 896-897)$Lakshmana Rao 1927-1928: 271-275 (EI XIXCOMMA 47)$Ramayya Pantulu 1927-1928: 275-277 (EI XIXCOMMA 48)$Sōmaśēkhara Śarma 1928: 473-484 (Bhārati VCOMMA issue 3: 473-484)COMMA Ramayya Pantulu 1930: 1,Ramayya Pantulu 1926: 20-22 (Āndhra sāhitya pariṣat patrika XV: 20-22)$Narayana Rao 1937: 1321-1322$Sastri 1969: 308COMMA No. 35$Radha Krishna 1971: 58-59COMMA No. 81,,The inscription is damaged at the beginning so that the name of the ruler is lost. It isCOMMA howeverCOMMA probable to assign this inscription to the reign of Vijayāditya II whose first year was 849 CE. Regnal year: 1,DHARMA,CC-BY-SA,,,,1
2,,INSTelugu00002,Butterworth & Venugopal Chetty 1905: 544-545 (NI II: 544-545),2022-01,jeth,2022-03-23,,,,DHARMA,Telugu,CC0,INSTelugu00002,,,,,On a stone built into the Ramasvāmi Mēḍa in Kandakūr town,ARTTelugu000002,,,commemorative-eulogy-victory_record,,,,Telugu,brahmi_and_derivatives-southern_class_brahmi,regional_Brahmi--derived_script,,,,,,,,,,,15,,A:8§B:6§C:1,,,,,849-891,low,,reign,,,,Butterworth & Venugopal Chetty 1905: 544-545 (NI II: 544-545)$Sōmaśēkharaśarma 1928: 791-792 (Bhārati VCOMMA issue 11: 791-805),Nārāyaṇarāvu 1937: 1320-1321 (HTL),,The inscription is not conplete but the remaining part refers to the deeds of Paṇḍaraṅga who served under Vijayāditya III whose reign is given as date interval.,DHARMA,CC-BY-SA,,,,2
3,,INSTelugu00003,ARIE 1946-1947: 13 (appendix B/1946-1947COMMA No. 2),2022-01,jeth,2022-03-23,,,,DHARMA,Telugu,CC0,INSTelugu00003,,,,,On a stone set up inside the compound of the Śiva temple at Balapanūru,ARTTelugu000003,,,donative,,,,Telugu,brahmi_and_derivatives-southern_class_brahmi,regional_Brahmi--derived_script,,,,,,,,,,,24,,A:15§B:9,,,,,849-891,low,,reign,,,,Ramesh & Ramachandra Murthy 1969-1970: 157-162 (EI XXXIXCOMMA 23 A),ARIE 1946-1947: 13 (appendix B/1946-1947COMMA No. 2),,"Only the estampage of the first side was published. In regard to side B the editors say that ""[t]he following is engraved on another piece probably as imprecatory portion"" (Ramesh & Ramachandra Murthy 1969-1970: 158COMMA an. 7). ARIE attributes this inscription to the Bāṇa dynasty. HoweverCOMMA the inscription mentions Davaḷeyarāja who could be identical with Pāṇḍuraṅga's son Niravadya-Dhavala mentioned in the Maliyapūṇḍi grant of Amma II (Calukya). The date interval reflects the rule of Vijayāditya III under whose reign Paṇḍaraṅga served. HoweverCOMMA Davaḷeyrtāja could also have served under the rule of Bhīma I. The inscriptions refers to the donation of a pannasa but it is not clear whether it is a religious or secular land grant.",DHARMA,CC-BY-SA,,,,3
4,,INSTelugu00004,ARIE 1921-1922: 79 (appendix C/1922COMMA No. 265),2022-01,jeth,2022-01-24,,,,DHARMA,Telugu,CC0,INSTelugu00004,Image of Viṣṇu probably donated by Cōḷaṟaviti,,,,Below the image of Vishṇu carved in the first cave-temple at Bhairavakōna in Bhairavakoṇḍa,ARTTelugu000004,,,utilitarian-name_person,,,,Telugu,,,,,,,,,,,,,1,1,,,,,,,,,,,,,Ramayya Pantulu 1948: 100 (SII XCOMMA 40),ARIE 1921-1922: 79 (appendix C/1922COMMA No. 265)$Sastri 1969: 327COMMA No. 40,,"The script in ARIE (ibidem) is said to be ""Archaic Telugu"". The inscription was published without a picture.",DHARMA,CC-BY-SA,,,,4
5,,INSTelugu00005,ARIE 1918: 82 (appendix B/1917COMMA No. 798),2022-01,jeth,2022-01-24,,,,DHARMA,Telugu,CC0,INSTelugu00005,Hero stone of Aravaḷa,,,,North-east of BudidagaddapalliCOMMA hamlet of Budili,ARTTelugu000005,,,commemorative-memorial-hero_memorial,,,,Telugu,,,,,,,,,,,,,3,,,,,,,,,,,,,,Ramayya Pantulu 1948: 331-332 (SII XCOMMA 602),ARIE 1918: 82 (appendix B/1917COMMA No. 798)$Sastri 1969: 333COMMA No. 67,,The inscription was published without a picture. Regnal year: Cōḻamahārāja,DHARMA,CC-BY-SA,,,,5
6,,INSTelugu00006,ARIE 1896: 18 (appendix B/1896COMMA No. 253),2022-01,jeth,2022-01-24,,,,DHARMA,Telugu,CC0,INSTelugu00006,,,,,On the east wall of the same shrine [i. e. Vāyudēva shrine of the Mukhaliṅgēśvara temple at Mukhaliṅgam],ARTTelugu000006,,,commemorative,,,,Telugu,,,,,,,,,,,,,5,5,,,,,,,,,,,,,Krishna Sastri 1925: 414 (SII VCOMMA 1128),ARIE 1896: 18 (appendix B/1896COMMA No. 253)$Sastri 1969: 345COMMA No. 98,,ARIE states that the inscription is written “In archaic characters”. The inscription was published without a picture.,DHARMA,CC-BY-SA,,,,6
7,,INSTelugu00007,ARIE 1905: 13 (appendix A/1904COMMA No. 380),2022-01,jeth,2022-01-24,,,,DHARMA,Telugu,CC0,INSTelugu00007,Kalamalla grant of Erikalmudurāju Dhanañjayunṟu,,The Kalamalla Inscription of Erikal-Muturaju Dhananjaya,,On two faces of a broken pillar lying in the court-yard of the same temple [i. e. Cennakēśava temple at Kalamaḷḷa],ARTTelugu000007,,,donative,,,,Telugu,brahmi_and_derivatives-southern_class_brahmi,regional_Brahmi--derived_script,,,,,,,,,,,18,19,A:17§B:1,,,,,575-600,low,,palaeography,,,,Ramayya Pantulu 1948: 333 (SII XCOMMA 607)$Nilakanta Sastri & Venkataramayya 1947-1948: 221-225 (EI XXVIICOMMA 42 A),ARIE 1905: 13 (appendix A/1904COMMA No. 380)$Sastri 1969: 282COMMA No. 1$Radha Krishna 1971: 2-3COMMA No. 3,,"The date is taken from Nilakanta Sastri & Venkataramayya 1947-1948: 221. ARIE states that the inscription is written “In archaic characters"". Regnal year: Erikal-Mudurāju Dhanañjayunṟu",DHARMA,CC-BY-SA,,,,7
8,,INSTelugu00008,ARIE 1938: 31 (appendix B/1937-1938COMMA No. 232),2022-01,jeth,2022-01-24,,,,DHARMA,Telugu,CC0,INSTelugu00008,,,Erragudipadu inscription of Erikal-Mutturaju,,Slab set up outside the north prākāra of the same temple [i. e. the Cennakēśavasvāmi temple at Erraguḍipāḍu],ARTTelugu000008,,,donative-religious_land_grant,,,,Telugu,brahmi_and_derivatives,regional_Brahmi--derived_script,,,,,,,,,,,14,14,A:9§B:5,,,,,575-600,low,,palaeography,,,,EI XXVIICOMMA 42 B (Nilakanta Sastri & Venkataramayya 1947-1948: 225-228),"ARIE 1938: 31 (appendix B/1937-1938COMMA No. 232)$Rāmacandra 1990: 100$Sastri
 1969: 282-283COMMA No. 2$Radha Krishna 1971: 1-2COMMA
 No. 2",,"The date is taken from Nilakanta Sastri & Venkataramayya 1947-1948: 227. In ARIE it is stated that ""The characters belong to about the 7th century A.D."" Regnal year: Erikal-Mutturāju",DHARMA,CC-BY-SA,,,,8
9,,INSTelugu00009,ARIE 1921-1922: 79 (appendix C/1922COMMA No. 272),2022-01,jeth,2022-01-24,,,,DHARMA,Telugu,CC0,INSTelugu00009,Craftsmanship of Vēḷuguṁṇṭha Ācāṟlu,,,,On the proper right pillar in the same verandah [i. e. the verandah of the fifth cave-temple at Bhairavakōna in Bhairavakoṇḍa],ARTTelugu000009,,,utilitarian-label-artwork_label,,,,Telugu,,,,,,,,,,,,,2,2,,,,,,,,,,,,,Ramayya Pantulu 1948: 18 (SII XCOMMA 47),ARIE 1921-1922: 79 (appendix C/1922COMMA No. 272)$Sastri 1969: 283COMMA No. 3$Radha Krishna 1971: 23COMMA No. 30,,ARIE states that the inscription is written in “Archaic Telugu”. The inscription was published without a picture.,DHARMA,CC-BY-SA,,,,9
