0,Fields group,Management of the resource,,,,,,,,,,,,Metadata of the text (description of item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,,0
0,,,,,,,,,,,,,,,,,,,,,,,,Text type,,,,,Language(s) and script(s),,,,,,,,,,,,Lettering format,,,,,,,,,,Filiation,,,,,,Rights,,,,0
0,Fields,Identifier of the resource,Origin of the metadata,Editor of the metadata,Date of the edition,Contributor of the metadata,Date of contribution,Type of contribution,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the text,Designation,Alternative identifier,Alternative designation,Alternative designation,Alternative designation,Alternative designation,Alternative designation,Location on the artefact/conglomerate artefact/monument,ID of the artefact/conglomerate artefact/monument,Text type 1,Text type 2,Text type 3,Text type 4,Lines,Language 1,Script classification 1,Script maturity 1,Language 2,Script classification 2,Script maturity 2,Language 3,Script classification 3,Script maturity 3,Language 4,Script classification 4,Script maturity 4,Lettering technique,Height of text,Width of text,Lines,Height of glyph,Width of glyph,Date CE,Date interval CE,Date precision,Date evidence,Duplicate ID,Reissue ID,Reissue date,Bibliographical references,Keyword(s),Remarks,Project responsible for publication,Distribution rights of the text,Identifier of the surrogate,Identifier of the digital image,0
0,Description of the fields,Digital identifier of the inscription as text - Syntax: INS<corpus>00001,Origin of the metadata: database or publication,Person(s) who supplied/edited metadata in this row (use the DHARMA members' Ids and separate them by space, if more than one editor),Date of metadata input/editing (YYYY-MM-DD),Person(s) who modified metadata in this row,Date of metadata modification (YYYY-MM-DD),Type of metadata modification (free text),Validation of the row of metadata and validating person,Date of metadata review (YYYY-MM-DD),Project responsible for making these metadata available,Corpus to which the inscription pertains,Licence applicable to metadata,"Identifier of the text - Syntax: INS<corpus>00001",Designation of the text,Alternative identifier(s),Alternative designation(s),Alternative designation(s),Alternative designation(s),Alternative designation(s),Alternative designation(s),Location on the artefact/conglomerate artefact/monument (free text),ID of the artefact/conglomerate artefact/monument bearing the text,Text type 1,Text type 2 (if there is more than one text type),Text type 3 (if there is more than one text type),Text type 4 (if there is more than one text type),Number of lines in the text,Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Writing technique (engraved, relief, painted, etc.),Height of the inscribed zone (cm),Width of the inscribed zone (cm),Number of lines observed on the artefact,Height of an average aksara (cm),Width of an average aksara (cm),YYYY-MM-DD or YYYY-MM or YYYY,YYYY-YYYY,precision of the text datation,evidence that indicates the date of the text,ID of the corresponding text,ID of the corresponding text,Saka date of reissue (YYYY),Bibliographical references. Use $ to separate the references,Terms to characterize the inscription. The choice of keywords is free, use $ to separate terms,Remarks on text-related metadata (free text),Project responsible for making this text edition available,Licence applicable to the text edition,Identifier(s) of the related surrogate(s). Use $ to separate the identifiers,Identifier(s) of the related digital image(s). Use $ to separate the identifiers,0
,,INSUttiramerur00001,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00002,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00003,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00004,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00005,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00006,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00007,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00008,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00009,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00010,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00011,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00012,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00013,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00014,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00015,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00016,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00017,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00018,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00019,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00020,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00021,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00022,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00023,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00024,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00025,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00026,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00027,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00028,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00029,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00030,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00031,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00032,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00033,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00034,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00035,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00036,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00037,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00038,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00039,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00040,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00041,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00042,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00043,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00044,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00045,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00046,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00047,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00048,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00049,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00050,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
,,INSUttiramerur00051,,,,,,,,,DHARMA,Uttiramerur,CC0,INSUttiramerur00051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,
